T_HEAT_LOW_C,AIRFLOW_PER_PERSON_M3H,T_HW_SUPPLY_MAX,T_STAIR_COLD_C,T_HW_EXT_HYST_C,T_BLOW_HEAT_C,E_total_kWh,E_heat_kWh,E_cool_kWh,E_fan_kWh,E_curtain_kWh,cost_eur,CO2_kg,T_comfort_pct,T_mild_pct,T_discomfort_pct,RH_comfort_pct,RH_mild_pct,RH_discomfort_pct,combined_comfort_pct,combined_mild_pct,combined_discomfort_pct,T_in_min,T_in_max
14.0,18.0,45.0,7.0,11.0,32.0,13526.184696356433,3148.2115560837783,1171.4999415542652,4974.254422318472,4232.218776399917,2287.531376462955,364.1023903019426,43.114754098360656,50.778688524590166,6.10655737704918,57.3224043715847,19.41256830601093,23.26502732240437,25.095628415300546,46.76229508196722,28.142076502732237,11.891088819145095,30.231550434744918
14.0,18.0,45.0,7.0,13.0,28.0,13403.150625886808,3014.6706581407484,1163.60596292955,4992.655228416594,4232.218776399917,2265.086132371111,359.77918829080096,43.060109289617486,50.30054644808744,6.639344262295081,57.513661202185794,19.23497267759563,23.251366120218577,25.10928961748634,46.27049180327869,28.620218579234972,12.011499808336229,30.184743663077256
14.0,18.0,45.0,7.0,13.0,30.0,13428.168043265548,3053.7224902779467,1163.1966741882882,4979.030102399397,4232.218776399917,2267.7267945843814,360.2229723485147,43.10109289617486,50.560109289617486,6.33879781420765,57.25409836065574,19.453551912568308,23.292349726775956,25.095628415300546,46.53005464480874,28.374316939890708,11.98051301224137,30.19622837009018
14.0,18.0,45.0,7.0,13.0,32.0,13526.184696356433,3148.2115560837783,1171.4999415542652,4974.254422318472,4232.218776399917,2287.531376462955,364.1023903019426,43.114754098360656,50.778688524590166,6.10655737704918,57.3224043715847,19.41256830601093,23.26502732240437,25.095628415300546,46.76229508196722,28.142076502732237,11.891088819145095,30.231550434744918
14.0,18.0,45.0,7.0,15.0,28.0,13403.150625886808,3014.6706581407484,1163.60596292955,4992.655228416594,4232.218776399917,2265.086132371111,359.77918829080096,43.060109289617486,50.30054644808744,6.639344262295081,57.513661202185794,19.23497267759563,23.251366120218577,25.10928961748634,46.27049180327869,28.620218579234972,12.011499808336229,30.184743663077256
14.0,18.0,45.0,7.0,15.0,30.0,13428.168043265548,3053.7224902779467,1163.1966741882882,4979.030102399397,4232.218776399917,2267.7267945843814,360.2229723485147,43.10109289617486,50.560109289617486,6.33879781420765,57.25409836065574,19.453551912568308,23.292349726775956,25.095628415300546,46.53005464480874,28.374316939890708,11.98051301224137,30.19622837009018
14.0,18.0,45.0,7.0,15.0,32.0,13526.184696356433,3148.2115560837783,1171.4999415542652,4974.254422318472,4232.218776399917,2287.531376462955,364.1023903019426,43.114754098360656,50.778688524590166,6.10655737704918,57.3224043715847,19.41256830601093,23.26502732240437,25.095628415300546,46.76229508196722,28.142076502732237,11.891088819145095,30.231550434744918
14.0,18.0,45.0,10.0,11.0,28.0,16049.02517501972,2150.9087094393367,1164.6257008302582,4994.937886482652,7738.552878267472,2723.9277337060576,422.55329154100224,45.79234972677595,48.169398907103826,6.038251366120219,59.6448087431694,19.23497267759563,21.120218579234972,27.39071038251366,46.69398907103825,25.91530054644809,11.977487094072911,30.187106343696623
14.0,18.0,45.0,10.0,11.0,30.0,16095.527118553295,2213.4718853246804,1163.5204960827582,4979.981858878384,7738.552878267472,2733.407505721084,424.31125629164296,45.80601092896175,48.333333333333336,5.860655737704918,59.74043715846995,19.18032786885246,21.079234972677597,27.36338797814208,46.95355191256831,25.683060109289617,12.066999391491086,30.199626893349716
14.0,18.0,45.0,10.0,11.0,32.0,16136.332270492467,2252.334768026432,1171.7385921253424,4973.706032073222,7738.552878267472,2741.788937771137,426.18169344725715,45.69672131147541,48.63387978142077,5.669398907103825,59.63114754098361,19.34426229508197,21.024590163934427,27.25409836065574,47.30874316939891,25.437158469945352,12.07300502476077,30.207085203032996
